"AtcoCode","IataCode","Name","NameLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9200ABZ1","ABZ","Aberdeen Airport","","","",,""
"9200BEB1","BEB","Benbecula Balivanich Airport","","","",,""
"9200BHX0","BHX","Birmingham International Airport","","","",,""
"9200BHX1","BHX","Birmingham International Airport","","","",,""
"9200BHX2","BHX","Birmingham International Airport","","","",,""
"9200BLK1","BLK","Blackpool International Airport","","","",,""
"9200BOH1","BOH","Bournemouth International Airport","","","",,""
"9200BQH1","BQH","Biggin Hill Airport","","","",,""
"9200BRR1","BRR","Barra North Bay Airport","","","",,""
"9200BRS1","BRS","Bristol International Airport","","","",,""
"9200CAL1","CAL","Campbeltown Machrihanish Airport","","","",,""
"9200CBG1","CBG","Cambridge Airport","","","",,""
"9200COL1","COL","Coll Airport","","","",,""
"9200CSA1","CSA","Colonsay Airport","","","",,""
"9200CVT1","CVT","Coventry Airport","","","",,""
"9200CWL1","CWL","Cardiff International Airport","","","",,""
"9200DND1","DND","Dundee City Airport","","","",,""
"9200DSA1","DCS","Robin Hood Doncaster Sheffield Airport","","","",,""
"9200EDI1","EDI","Edinburgh Airport","","","",,""
"9200EMA1","EMA","East Midlands Airport","","","",,""
"9200EOI1","EOI","Eday Airport","","","",,""
"9200ESH1","ESH","Shoreham Brighton City Airport","","","",,""
"9200EXT1","EXT","Exeter International Airport","","","",,""
"9200FIE1","FIE","Fair Isle Airport","","","",,""
"9200FOA1","FOA","Foula Airport","","","",,""
"9200GLA1","GLA","Glasgow International Airport","","","",,""
"9200GLO1","GLO","Gloucestershire Airport","","","",,""
"9200HUY1","HUY","Humberside Airport","","","",,""
"9200ILY1","ILY","Islay Glenegedal Airport","","","",,""
"9200INV1","INV","Inverness Airport","","","",,""
"9200ISC1","ISC","Isles of Scilly St Mary's Airport","","","",,""
"9200KOI1","KOI","Kirkwall (Orkney) Airport","","","",,""
"9200LBA1","LBA","Leeds Bradford International Airport","","","",,""
"9200LCY1","LCY","London City Airport","","","",,""
"9200LEQ1","LEQ","Land's End St Just Airport","","","",,""
"9200LGW0","LGW","London Gatwick Airport","","","",,""
"9200LGW1","LGW","London Gatwick Airport","","","",,""
"9200LGW2","LGW","London Gatwick Airport","","","",,""
"9200LHR0","LHR","London Heathrow Airport","","","",,""
"9200LHR1","LHR","London Heathrow Airport","","","",,""
"9200LHR2","LHR","London Heathrow Airport","","","",,""
"9200LHR3","LHR","London Heathrow Airport","","","",,""
"9200LHR4","LHR","London Heathrow Airport","","","",,""
"9200LHR5","LHR","London Heathrow Airport","","","",,""
"9200LPL1","LPL","Liverpool John Lennon Airport","","","",,""
"9200LSI1","LSI","Sumburgh Airport","","","",,""
"9200LTN1","LTN","London Luton Airport","","","",,""
"9200LWK1","LWK","Lerwick Tingwall Airport","","","",,""
"9200LYX1","LYX","Lydd London Ashford Airport","","","",,""
"9200MAN0","MAN","Manchester Airport","","","",,""
"9200MAN1","MAN","Manchester Airport","","","",,""
"9200MAN2","MAN","Manchester Airport","","","",,""
"9200MAN3","MAN","Manchester Airport","","","",,""
"9200MME1","MME","Durham Tees Valley Airport","","","",,""
"9200MSE1","MSE","Kent International Airport","","","",,""
"9200NCL1","NCL","Newcastle International Airport","","","",,""
"9200NDY1","NDY","Sanday Airport","","","",,""
"9200NQY1","NQY","Newquay St Mawgan Airport","","","",,""
"9200NRL1","NRL","North Ronaldsay Airport","","","",,""
"9200NWI1","NWI","Norwich International Airport","","","",,""
"9200OBN1","OBN","Oban (North Connel) Airport","","","",,""
"9200OUK1","OUK","Out Skerries Airport","","","",,""
"9200OXF1","OXF","London Oxford Airport","","","",,""
"9200PIK1","PIK","Glasgow Prestwick International Airport","","","",,""
"9200PLH1","PLH","Plymouth City Airport","","","",,""
"9200PPW1","PPW","Papa Westray Airport","","","",,""
"9200PSV1","PSV","Papa Stour Airport","","","",,""
"9200SEN1","SEN","London Southend Airport","","","",,""
"9200SOU1","SOU","Southampton Airport","","","",,""
"9200SOY1","SOY","Stronsay Airport","","","",,""
"9200STN1","STN","London Stansted Airport","","","",,""
"9200SWS1","SWS","Swansea Airport","","","",,""
"9200SYY1","SYY","Stornoway Airport","","","",,""
"9200TRE1","TRE","Tiree Airport","","","",,""
"9200TSO1","TSO","Isles of Scilly Tresco Airport","","","",,""
"9200VLY1","VLY","Anglesey Airport","","","",,""
"9200WHS1","WHS","Whalsay Airport","","","",,""
"9200WIC1","WIC","Wick Airport","","","",,""
"9200WRY1","WRY","Westray Airport","","","",,""
